top_500_rank,title,author,pub_year,orig_lang,genre,author_birth,author_death,author_gender,author_primary_lang,author_nationality,author_field_of_activity,author_occupation,oclc_holdings,oclc_eholdings,oclc_total_editions,oclc_holdings_rank,oclc_editions_rank,gr_avg_rating,gr_num_ratings,gr_num_reviews,gr_avg_rating_rank,gr_num_ratings_rank,oclc_owi,author_viaf,gr_url,wiki_url,pg_eng_url,pg_orig_url,year,week,rank,title_id,nyt_title,novel_length_chars,novel_length_words,mentions_she,he_counts,she_counts,they_counts,pg_book_id,pub_date
180,Invisible Man,Ralph Ellison,1952,English,na,1914,1994,male,eng,US,,"novelists,lecturers,essayists,college teachers",10666.0,410.0,456.0,151.0,259.0,3.91,"186,954","8,217",316,248,463552.0,2481446,https://www.goodreads.com/book/show/16981.Invisible_Man?ref=nav_sb_ss_1_13,https://en.wikipedia.org/wiki/Invisible_Man,NA_not-pub-domain,,,,,,,,,False,,,,,1952-01-01
181,Steppenwolf,Hermann Hesse,1927,German,na,1877,1962,male,ger,DE,"novels,fiction,editing","authors german,novelists,editors",10081.0,1786.0,1562.0,172.0,84.0,4.13,"184,044","8,036",118,251,4730343372.0,41841418,https://www.goodreads.com/book/show/16631.Steppenwolf?ref=nav_sb_ss_1_11,https://en.wikipedia.org/wiki/Steppenwolf_(novel),unavailable,,,,,,,,,False,,,,,1927-01-01
182,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,German,autobio,1749,1832,male,ger,DE,,poets,14697.0,4794.0,3706.0,84.0,15.0,3.69,"129,949","8,335",445,286,2261068563.0,24602065,https://www.goodreads.com/book/show/16640.The_Sorrows_of_Young_Werther?ref=nav_sb_ss_1_28,https://en.wikipedia.org/wiki/The_Sorrows_of_Young_Werther,https://www.gutenberg.org/cache/epub/2527/pg2527.txt,https://www.gutenberg.org/cache/epub/2407/pg2407.txt ; https://www.gutenberg.org/cache/epub/2408/pg2408.txt,,,,,,,,False,,,,2527,1774-01-01
183,Bridge to Terabithia,Katherine Paterson,1977,English,fantasy,1932,ALIVE,female,eng,US,"literacy,childrens literature,authorship",authors,10731.0,402.0,320.0,150.0,322.0,4.04,"543,640","16,285",188,137,439504.0,98108465,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia?ref=nav_sb_ss_1_20,https://en.wikipedia.org/wiki/Bridge_to_Terabithia_(novel),NA_not-pub-domain,,,,,,,,,False,,,,,1977-01-01
184,The Invisible Man,H.G. Wells,1897,English,na,1866,1946,male,eng,GB,science fiction,authors,11525.0,6660.0,1317.0,138.0,111.0,3.64,"192,315","9,544",467,244,1153287173.0,97006424,https://www.goodreads.com/book/show/17184.The_Invisible_Man?ref=nav_sb_ss_1_17,https://en.wikipedia.org/wiki/The_Invisible_Man,https://www.gutenberg.org/cache/epub/5230/pg5230.txt,,,,,,,,,False,,,,5230,1897-01-01
185,Holes,Louis Sachar,1998,English,na,1954,ALIVE,male,eng,US,,,10615.0,682.0,320.0,153.0,323.0,4.0,"1,190,912","26,384",226,73,50989.0,85317795,https://www.goodreads.com/book/show/38709.Holes?ref=nav_sb_ss_1_5,https://en.wikipedia.org/wiki/Holes_(novel),NA_not-pub-domain,,,,,,,,,False,,,,,1998-01-01
186,Siddhartha,Hermann Hesse,1922,German,na,1877,1962,male,ger,DE,"novels,fiction,editing","authors german,novelists,editors",11899.0,3642.0,1646.0,129.0,76.0,4.07,"766,357","26,790",165,105,3943467427.0,41841418,https://www.goodreads.com/book/show/52036.Siddhartha?ref=nav_sb_ss_1_10,https://en.wikipedia.org/wiki/Siddhartha_(novel),https://www.gutenberg.org/cache/epub/2500/pg2500.txt,https://www.gutenberg.org/cache/epub/2499/pg2499.txt,,,,,,239818.0,42191.0,True,832.0,66.0,96.0,2500,1922-01-01
187,A Tree Grows in Brooklyn,Betty Smith,1943,English,na,1896,1972,female,eng,US,,"dramatists,authors",9593.0,428.0,393.0,197.0,284.0,4.29,"463,200","26,886",36,150,3373792813.0,79125167,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn?ref=nav_sb_ss_1_24,https://en.wikipedia.org/wiki/A_Tree_Grows_in_Brooklyn_(novel),NA_not-pub-domain,,,,,,,,,False,,,,,1943-01-01
188,"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,1872,English,fantasy,1832,1898,male,eng,GB,"writing,teaching,photography,mathematics","authors,teachers,photographers,mathematicians",24125.0,6698.0,2694.0,19.0,34.0,4.02,"134,965","4,570",205,282,11561315216.0,66462036,https://www.goodreads.com/book/show/83346.Through_the_Looking_Glass_and_What_Alice_Found_There?ref=nav_sb_ss_1_53,https://en.wikipedia.org/wiki/Through_the_Looking-Glass,https://www.gutenberg.org/cache/epub/12/pg12.txt,,,,,,,188004.0,32789.0,True,189.0,482.0,134.0,12,1872-01-01
189,In Cold Blood,Truman Capote,1966,English,na,1924,1984,male,eng,US,,"screenwriters,dramatists,authors",9649.0,520.0,353.0,193.0,300.0,4.09,"655,404","23,534",147,123,4915129530.0,51686739,https://www.goodreads.com/book/show/168642.In_Cold_Blood?ref=nav_sb_ss_1_13,https://en.wikipedia.org/wiki/In_Cold_Blood,NA_not-pub-domain,,,,,,,,,False,,,,,1966-01-01
190,The House of the Spirits,Isabel Allende,1982,Spanish,na,1942,ALIVE,female,spa,CL,"fiction,novels","authors,novelists",9860.0,302.0,725.0,183.0,192.0,4.28,"266,062","14,720",39,215,149468202.0,61556825,https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits?ref=nav_sb_ss_1_24,https://en.wikipedia.org/wiki/The_House_of_the_Spirits,NA_not-pub-domain,unavailable,,,,,,,,False,,,,,1982-01-01
191,Adam Bede,George Eliot,1859,English,romance,1819,1880,female,eng,GB,"novels,fiction","translators,poets,novelists,journalists",9888.0,4818.0,1398.0,182.0,106.0,3.81,"25,288","1,241",387,450,396911.0,89000553,https://www.goodreads.com/book/show/20563.Adam_Bede?ref=nav_sb_ss_1_9,https://en.wikipedia.org/wiki/Adam_Bede,https://www.gutenberg.org/cache/epub/507/pg507.txt,,,,,,,1195981.0,217115.0,True,2486.0,1966.0,678.0,507,1859-01-01
192,The Betrothed,Alessandro Manzoni,1827,Italian,history,1785,1873,male,ita,IT,literature,,8687.0,909.0,2516.0,229.0,39.0,3.85,"14,973",966,362,472,327272697.0,14356,https://www.goodreads.com/book/show/566328.The_Betrothed?ref=nav_sb_ss_3_13,https://en.wikipedia.org/wiki/The_Betrothed_(Manzoni_novel),https://www.gutenberg.org/cache/epub/35155/pg35155.txt,https://www.gutenberg.org/cache/epub/45334/pg45334.txt,,,,,,986202.0,170784.0,True,2455.0,651.0,741.0,35155,1827-01-01
193,The Book Thief,Markus Zusak,2006,English,history,1975,ALIVE,male,eng,AU,fiction,"authors,writers",9536.0,988.0,383.0,200.0,287.0,4.39,"2,538,966","143,813",18,31,879037.0,238968,https://www.goodreads.com/book/show/19063.The_Book_Thief?ref=nav_sb_ss_1_14,https://en.wikipedia.org/wiki/The_Book_Thief,NA_not-pub-domain,,,,,,,,,False,,,,,2006-01-01
194,Their Eyes Were Watching God,Zora Neale Hurston,1937,English,na,1891,1960,female,eng,US,"vodou research,harlem renaissance,folklore,anthropology","novelists,folklorists,editors,authors,anthropologists",10466.0,454.0,343.0,159.0,308.0,3.98,"344,692","20,411",249,180,195678358.0,62824341,https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God?ref=nav_sb_ss_1_28,https://en.wikipedia.org/wiki/Their_Eyes_Were_Watching_God,NA_not-pub-domain,,,,,,,,,False,,,,,1937-01-01
195,One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenitsyn,1962,Russian,na,1918,2008,male,rus,RU,,authors russian,9168.0,251.0,317.0,213.0,325.0,3.98,"113,811","6,023",250,301,365070598.0,95215697,https://www.goodreads.com/book/show/17125.One_Day_in_the_Life_of_Ivan_Denisovich?ref=nav_sb_ss_1_38,https://en.wikipedia.org/wiki/One_Day_in_the_Life_of_Ivan_Denisovich,NA_not-pub-domain,,,,,,,,,False,,,,,1962-01-01
196,The Sea Wolf,Jack London,1904,English,na,1876,1916,male,eng,US,,"novelists american,authors american",18081.0,7967.0,2062.0,46.0,51.0,4.05,"30,339","1,869",180,435,2242253940.0,46764200,https://www.goodreads.com/book/show/43049.The_Sea_Wolf?ref=nav_sb_ss_1_12,https://en.wikipedia.org/wiki/The_Sea-Wolf,https://www.gutenberg.org/cache/epub/1074/pg1074.txt,,,,,,,611316.0,108688.0,True,1020.0,436.0,225.0,1074,1904-01-01
